year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q3,APAC,Malaysia,Display,52.00%,6.70%,4.60%
2019,Q3,APAC,New Zealand,Display,52.00%,6.70%,5.50%
2019,Q3,APAC,Pakistan,Display,52.00%,6.70%,6.50%
2019,Q3,APAC,Philippines,Display,52.00%,6.70%,7.10%
2019,Q3,APAC,Singapore,Display,52.00%,6.70%,5.50%
2019,Q3,APAC,South Korea,Display,52.00%,6.70%,7.40%
2019,Q3,APAC,Taiwan,Display,52.00%,6.70%,5.80%
2019,Q3,APAC,Thailand,Display,52.00%,6.70%,3.50%
2019,Q3,APAC,Vietnam,Display,52.00%,6.70%,2.80%
2019,Q3,Eastern Europe,Bulgaria,Display,57.00%,7.90%,1.60%
2019,Q3,Eastern Europe,Czech Republic,Display,57.00%,7.90%,7.60%
2019,Q3,Eastern Europe,Greece,Display,57.00%,7.90%,1.50%
2019,Q3,Eastern Europe,Hungary,Display,57.00%,7.90%,6.30%
2019,Q3,Eastern Europe,Poland,Display,61.00%,7.90%,3.90%
2019,Q3,Eastern Europe,Poland,Mobile in app,53.00%,1.50%,9.60%
2019,Q3,Eastern Europe,Poland,Video,60.00%,29.90%,1.20%
2019,Q3,Eastern Europe,Romania,Display,57.00%,7.90%,3.00%
2019,Q3,Eastern Europe,Russia,Display,53.00%,7.90%,2.90%
2019,Q3,Eastern Europe,Russia,Mobile in app,90.00%,1.50%,9.60%
2019,Q3,Eastern Europe,Russia,Video,49.00%,29.90%,1.20%
2019,Q3,Eastern Europe,Ukraine,Display,57.00%,7.90%,13.40%
2019,Q3,LATAM,Argentina,Display,59.00%,7.20%,6.10%
2019,Q3,LATAM,Brazil,Display,56.00%,7.90%,1.90%
2019,Q3,LATAM,Brazil,Mobile in app,57.00%,2.90%,1.10%
2019,Q3,LATAM,Brazil,Video,67.00%,12.50%,1.30%
2019,Q3,LATAM,Chile,Display,59.00%,7.20%,5.30%
2019,Q3,LATAM,Colombia,Display,59.00%,7.20%,7.40%
2019,Q3,LATAM,Dominican Republic,Display,59.00%,7.20%,12.70%
2019,Q3,LATAM,Mexico,Display,63.00%,6.60%,1.50%
2019,Q3,LATAM,Mexico,Mobile in app,47.00%,2.30%,1.00%
2019,Q3,LATAM,Mexico,Video,68.00%,9.20%,0.70%
2019,Q3,LATAM,Peru,Display,59.00%,7.20%,6.80%
2019,Q3,LATAM,Puerto Rico,Display,59.00%,7.20%,7.50%
2019,Q3,Middle East,Afghanistan,Display,,,6.20%
2019,Q3,Middle East,Egypt,Display,,,5.20%
2019,Q3,Middle East,Jordan,Display,,,3.90%
2019,Q3,Middle East,Israel,Display,,,4.90%
2019,Q3,Middle East,Kuwait,Display,,,3.10%
2019,Q3,Middle East,Lebanon,Display,,,5.30%
2019,Q3,Middle East,Saudi Arabia,Display,,,3.50%
2019,Q3,Middle East,Turkey,Display,,,5.90%
2019,Q3,Middle East,United Arab Emirates,Display,,,5.80%
2019,Q3,NA,Canada,Display,55.00%,10.00%,2.70%
2019,Q3,NA,Canada,Mobile in app,65.00%,4.20%,1.80%
2019,Q3,NA,Canada,Video,69.00%,9.20%,1.70%
2019,Q3,NA,US,Display,61.00%,4.60%,2.90%
2019,Q3,NA,US,Mobile in app,67.00%,4.40%,1.00%
2019,Q3,NA,US,Video,62.00%,6.90%,2.50%
2019,Q3,Western Europe,Austria,Display,82.00%,4.90%,5.00%
2019,Q3,Western Europe,Austria,Mobile in app,57.00%,5.10%,2.10%
2019,Q3,Western Europe,Belgium,Display,57.00%,4.90%,7.30%
2019,Q3,Western Europe,Denmark,Display,57.00%,4.90%,7.20%
2019,Q3,Western Europe,Finland,Display,57.00%,4.90%,8.20%
2019,Q3,Western Europe,France,Display,50.00%,7.20%,2.50%
2019,Q3,Western Europe,France,Mobile in app,51.00%,3.10%,2.30%
2019,Q3,Western Europe,France,Video,66.00%,9.10%,2.80%
2019,Q3,Western Europe,Germany,Display,53.00%,2.40%,2.00%
2019,Q3,Western Europe,Germany,Mobile in app,56.00%,5.20%,1.00%
2019,Q3,Western Europe,Germany,Video,76.00%,5.70%,0.90%
2019,Q3,Western Europe,Ireland,Display,57.00%,4.90%,5.40%
2019,Q3,Western Europe,Italy,Display,42.00%,6.20%,1.70%
2019,Q3,Western Europe,Italy,Mobile in app,59.00%,1.40%,0.70%
2019,Q3,Western Europe,Italy,Video,76.00%,7.10%,1.00%
2019,Q3,Western Europe,Netherlands,Display,59.00%,7.80%,2.80%
2019,Q3,Western Europe,Netherlands,Mobile in app,46.00%,9.30%,8.00%
2019,Q3,Western Europe,Netherlands,Video,63.00%,2.80%,2.20%
2019,Q3,Western Europe,Norway,Display,57.00%,4.90%,6.80%
2019,Q3,Western Europe,Portugal,Display,57.00%,4.90%,6.90%
2019,Q3,Western Europe,Spain,Display,49.00%,3.20%,1.50%
2019,Q3,Western Europe,Spain,Mobile in app,61.00%,11.20%,0.80%
2019,Q3,Western Europe,Spain,Video,79.00%,7.50%,1.00%
2019,Q3,Western Europe,Sweden,Display,56.00%,2.10%,2.20%
2019,Q3,Western Europe,Sweden,Mobile in app,62.00%,0.20%,0.80%
2019,Q3,Western Europe,Sweden,Video,66.00%,13.00%,2.20%
2019,Q3,Western Europe,Switzerland,Display,64.00%,4.90%,5.40%
2019,Q3,Western Europe,Switzerland,Mobile in app,51.00%,5.10%,2.10%
2019,Q3,Western Europe,UK,Display,57.00%,5.80%,1.60%
2019,Q3,Western Europe,UK,Mobile in app,57.00%,5.40%,1.20%
2019,Q3,Western Europe,UK,Video,68.00%,10.40%,1.30%
2019,Q4,Africa,Morocco,Display,57.00%,,5.30%
2019,Q4,Africa,Morocco,Mobile in app,64.00%,,1.10%
2019,Q4,Africa,Morocco,Video,68.00%,,1.50%
2019,Q4,Africa,Nigeria,Display,51.00%,,6.60%
2019,Q4,Africa,Nigeria,Mobile in app,58.00%,,3.00%
2019,Q4,Africa,Nigeria,Video,48.00%,,2.60%
2019,Q4,Africa,South Africa,Display,58.00%,,4.50%
2019,Q4,Africa,South Africa,Mobile in app,67.00%,,2.50%
2019,Q4,Africa,South Africa,Video,65.00%,,1.60%
2019,Q4,APAC,Australia,Display,57.00%,7.30%,2.60%
2019,Q4,APAC,Australia,Mobile in app,55.00%,12.10%,1.30%
2019,Q4,APAC,Australia,Video,72.00%,13.20%,1.30%
2019,Q4,APAC,China,Display,47.00%,6.10%,8.60%
2019,Q4,APAC,China,Mobile in app,77.00%,3.70%,5.40%
2019,Q4,APAC,China,Video,70.00%,4.50%,3.40%
2019,Q4,APAC,Hong Kong,Display,56.00%,5.30%,4.90%
